nom,name,an2013,an2012,iso,capitale,latitude,longitude
Afghanistan,Afghanistan,128,150,AFG,Kabul,34.28N,69.11E
Afrique du Sud,South Africa,52,42,ZAF,Pretoria,25.44S,28.12E
Albanie,Albania,102,96,ALB,Tirane,41.18N,19.49E
Algérie,Algeria,125,122,DZA,Algiers,36.42N,03.08E
Allemagne,Germany,17,16,DEU,Berlin,52.30N,13.25E
Andorre,Andorra,5,-,AND,Andorra la Vella,42.31N,1.32E
Angola,Angola,130,132,AGO,Luanda,08.50S,13.15E
Arabie saoudite,Saudi Arabia,163,158,SAU,Riyadh,24.41N,46.42E
Argentine,Argentina,54,47,ARG,Buenos Aires,36.30S,60.00W
Arménie,Armenia,74,77,ARM,Yerevan,40.10N,44.31E
Australie,Australia,26,30,AUS,Canberra,35.15S,149.08E
Autriche,Austria,12,5,AUT,Vienna,48.12N,16.22E
Azerbaïdjan,Azerbaijan,156,162,AZE,Baku,40.29N,49.56E
Bahreïn,Bahrain,165,173,BHR,Manama,26.10N,50.30E
Bangladesh,Bangladesh,144,129,BGD,Dhaka,23.43N,90.26E
Bélarus,Belarus,157,168,BLR,Minsk,53.52N,27.30E
Belgique,Belgium,21,20,BEL,Brussels,50.51N,04.21E
Bénin,Benin,79,91,BEN,Porto Novo,06.23N,02.42E
Bhoutan,Bhutan,82,70,BTN,Thimphu,27.31N,89.45E
Birmanie,Myanmar,151,169,MMR,Yangon,16.45N,96.20E
Bolivie,Bolivia,109,108,BOL,La Paz,16.20S,68.10W
Bosnie-Herzégovine,Bosnia and Herzegovina,68,58,BIH,Sarajevo,43.52N,18.26E
Botswana,Botswana,40,42,BWA,Gaborone,24.45S,25.57E
Brésil,Brazil,108,99,BRA,Brasilia,15.47S,47.55W
Brunei,Brunei Darussalam,122,125,BRN,Bandar Seri Begawan,04.52N,115.00E
Bulgarie,Bulgaria,87,80,BGR,Sofia,42.45N,23.20E
Burkina Faso,Burkina Faso,46,68,BFA,Ouagadougou,12.15N,01.30W
Burundi,Burundi,132,130,BDI,Bujumbura,03.16S,29.18E
Cambodge,Cambodia,143,117,KHM,Phnom Penh,11.33N,104.55E
Cameroun,Cameroon,120,97,CMR,Yaounde,03.50N,11.35E
Canada,Canada,20,10,CAN,Ottawa,45.27N,75.42W
Cap-Vert,Cape Verde,25,9,CPV,Praia,15.02N,23.34W
Chili,Chile,60,80,CHL,Santiago,33.24S,70.40W
Chine,China,173,174,CHN,Beijing,39.55N,116.20E
Chypre,Cyprus,24,16,CYP,Nicosia,35.10N,33.25E
Chypre (partie Nord),Cyprus North,94,102,NCYP,Nicosie,35.10N,33.21E
Colombie,Colombia,129,143,COL,Bogota,04.34N,74.00W
Comores,Comoros,51,45,COM,Moroni,11.41N,43.16E
Congo,Republic of the Congo,76,90,COG,Brazzaville,4.14S,15.1450E
Corée du Nord,Democratic People's Republic of Korea,178,178,PRK,Pyongyang,39.2N,125.45E
Corée du Sud,Republic of Korea,50,44,KOR,Séoul,37.35N,127E
Costa Rica,Costa Rica,18,19,CRI,San Jose,09.55N,84.02W
Côte d'Ivoire,Côte d'Ivoire,96,159,CIV,Yamoussoukro,6.51N,5.18W
Croatie,Croatia,64,68,HRV,Zagreb,45.50N,15.58E
Cuba,Cuba,171,167,CUB,Havana,23.08N,82.22W
Danemark,Denmark,6,10,DNK,Copenhagen,55.41N,12.34E
Djibouti,Djibouti,167,159,DJI,Djibouti,11.08N,42.20E
Egypte,Egypt,158,166,EGY,Cairo,30.01N,31.14E
El Salvador,El Salvador,38,37,SLV,San Salvador,13.40N,89.10W
Emirats arabes unis,United Arab Emirates,114,112,ARE,Abu Dhabi,24.28N,54.22E
Equateur,Ecuador,119,104,ECU,Quito,00.15S,78.35W
Erythrée,Eritrea,179,179,ERI,Asmara,15.19N,38.55E
Espagne,Spain,36,39,ESP,Madrid,40.25N,03.45W
Estonie,Estonia,11,3,EST,Tallinn,59.22N,24.48E
Etats-Unis,United States,32,47,USA,Washington,38.53N,77.02W
Ethiopie,Ethiopia,137,127,ETH,Addis Ababa,09.02N,38.42E
Fidji,Fiji,107,117,FJI,Suva,18.06S,178.30E
Finlande,Finland,1,1,FIN,Helsinki,60.15N,25.03E
France,France,37,38,FRA,Paris,48.50N,02.20E
Gambie,Gambia,152,141,GMB,Banjul,13.28N,16.40W
Géorgie,Georgia,100,104,GEO,T'bilisi,41.43N,44.50E
Ghana,Ghana,30,41,GHA,Accra,05.35N,00.06W
Grce,Greece,84,70,GRC,Athens,37.58N,23.46E
Guatemala,Guatemala,95,97,GTM,Guatemala,14.40N,90.22W
Guinée,Guinea,86,86,GIN,Conakry,09.29N,13.49W
Guinée équatoriale,Equatorial Guinea,166,161,GNQ,Malabo,03.45N,08.50E
Guinée-Bissau,Guinea-Bissau,92,75,GNB,Bissau,11.45N,15.45W
Guyana,Guyana,69,58,GUY,Georgetown,06.50N,58.12W
Haïti,Haiti,49,52,HTI,Port-au-Prince,18.40N,72.20W
Honduras,Honduras,127,135,HND,Tegucigalpa,14.05N,87.14W
Hong-Kong,Hong Kong,58,54,HKG,#N/A,22.15N,114.10E
Hongrie,Hungary,56,40,HUN,Budapest,47.29N,19.05E
Inde,India,140,131,IND,New Delhi,28.37N,77.13E
Indonésie,Indonesia,139,146,IDN,Jakarta,06.09S,106.49E
Irak,Iraq,150,152,IRQ,Baghdad,33.20N,44.30E
Iran,Islamic Republic of Iran,174,175,IRN,Teheran,35.4029N,51.2520E
Irlande,Ireland,15,15,IRL,Dublin,53.21N,06.15W
Islande,Iceland,9,6,ISL,Reykjavik,64.10N,21.57W
Israël,Israel,112,92 - 133,ISR,Jerusalem,31.71N,35.10E
Italie,Italy,57,61,ITA,Rome,41.54N,12.29E
Jamaïque,Jamaica,13,16,JAM,Kingston,18.00N,76.50W
Japon,Japan,53,22,JPN,Tokyo,35.41N,139.46E
Jordanie,Jordan,134,128,JOR,Amman,31.57N,35.52E
Kazakhstan,Kazakhstan,160,154,KAZ,Astana,51.10N,71.30E
Kenya,Kenya,71,84,KEN,Nairobi,01.17S,36.48E
Kirghizstan,Kyrgyzstan,106,108,KGZ,Bishkek,42.54N,74.46E
Kosovo,Kosovo,85,86,RKS,Priština,42.40N,21.10E
