name,an2013,an2012,iso
Finlande,1,1,FIN
Pays-Bas,2,3,NLD
Norvège,3,1,NOR
Luxembourg,4,6,LUX
Andorre,5,-,AND
Liechtenstein,7,-,LIE
Danemark,6,10,DNK
Islande,9,6,ISL
Nouvelle-ZÈlande,8,13,NZL
Suède,10,12,SWE
Estonie,11,3,EST
Autriche,12,5,AUT
RÈpublique tchèque,16,14,CZE
Allemagne,17,16,DEU
Suisse,14,8,CHE
Irlande,15,15,IRL
JamaÔque,13,16,JAM
Canada,20,10,CAN
Pologne,22,24,POL
Slovaquie,23,25,SVK
Costa Rica,18,19,CRI
Namibie,19,20,NAM
Belgique,21,20,BEL
Cap-Vert,25,9,CPV
Chypre,24,16,CYP
Uruguay,27,32,URY
Ghana,30,41,GHA
Australie,26,30,AUS
BÈlize,-,-,BLZ
Portugal,28,33,PRT
Surinam,31,22,SUR
Lituanie,33,30,LTU
Royaume-Uni,29,28,GBR
SlovÈnie,35,36,SVN
Espagne,36,39,ESP
OECS,34,25,ATG
Lettonie,39,50,LVA
El Salvador,38,37,SLV
France,37,38,FRA
Samoa,48,54,WSM
Botswana,40,42,BWA
Afrique du Sud,52,42,ZAF
TrinitÈ-et-Tobago,44,50,TTO
Papouasie-Nouvelle-GuinÈe,41,35,PNG
Roumanie,42,47,ROU
Etats-Unis,32,47,USA
HaÔti,49,52,HTI
Niger,43,29,NER
Italie,57,61,ITA
TaÔwan,47,45,TWN
Malte,45,58,MLT
Burkina Faso,46,68,BFA
Comores,51,45,COM
Serbie,63,80,SRB
Argentine,54,47,ARG
Moldavie,55,53,MDA
CorÈe du Sud,50,44,KOR
Chili,60,80,CHL
Japon,53,22,JPN
Mauritanie,67,67,MRT
Hong-Kong,58,54,HKG
SÈnÈgal,59,75,SEN
Tonga,66,63,TON
Hongrie,56,40,HUN
Croatie,64,68,HRV
Bosnie-HerzÈgovine,68,58,BIH
Guyana,69,58,GUY
RÈpublique dominicaine,80,95,DOM
Tanzanie,70,34,TZA
Maurice,62,54,MUS
Nicaragua,78,72,NIC
Sierra Leone,61,63,SLE
Malawi,75,146,MWI
Lesotho,81,63,LSO
BÈnin,79,91,BEN
Togo,83,79,TGO
Timor-Leste,90,86,TLS
ArmÈnie,74,77,ARM
Mozambique,73,66,MOZ
Kosovo,85,86,RKS
Madagascar,88,84,MDG
Congo,76,90,COG
Chypre (partie Nord),94,102,#N/A
GÈorgie,100,104,GEO
Albanie,102,96,ALB
GuinÈe-Bissau,92,75,GNB
Panama,111,113,PAN
Mongolie,98,100,MNG
Liberia,97,110,LBR
Kenya,71,84,KEN
KoweÔt,77,78,KWT
Bhoutan,82,70,BTN
Zambie,72,86,ZMB
Bolivie,109,108,BOL
Equateur,119,104,ECU
IsraÎl,112,92 - 133,ISR
Kirghizstan,106,108,KGZ
RÈpublique du Gabon,89,101,GAB
Grèce,84,70,GRC
Bulgarie,87,80,BGR
C™te d'Ivoire,96,159,CIV
GuinÈe,86,86,GIN
Seychelles,93,73,SYC
PÈrou,105,115,PER
Paraguay,91,80,PRY
Liban,101,93,LBN
Fidji,107,117,FJI
Maldives,103,73,MDV
RÈpublique centrafricaine,65,62,CAF
Ouganda,104,139,UGA
BrÈsil,108,99,BRA
Nigeria,115,126,NGA
Qatar,110,114,QAT
MontÈnÈgro,113,107,MNE
Tadjikistan,123,122,TJK
Venezuela,117,117,VEN
Brunei,122,125,BRN
Emirats arabes unis,114,112,ARE
Soudan du Sud,124,111,SSD
NÈpal,118,106,NPL
AlgÈrie,125,122,DZA
Mali,99,25,MLI
MacÈdoine,116,94,MKD
Angola,130,132,AGO
Guatemala,95,97,GTM
Colombie,129,143,COL
Ukraine,126,116,UKR
Afghanistan,128,150,AFG
Honduras,127,135,HND
Thailande,135,137,THA
Cameroun,120,97,CMR
IndonÈsie,139,146,IDN
Tunisie,138,134,TUN
Oman,141,117,OMN
Zimbabwe,133,117,ZWE
Maroc,136,138,MAR
Libye,131,154,LBY
Palestine,146,153,PSE
Tchad,121,103,TCD
Inde,140,131,IND
Jordanie,134,128,JOR
Burundi,132,130,BDI
Ethiopie,137,127,ETH
Cambodge,143,117,KHM
Birmanie,151,169,MMR
Bangladesh,144,129,BGD
Malaisie,145,122,MYS
Russie,148,142,RUS
Philippines,147,140,PHL
Singapour,149,135,SGP
RD Congo,142,145,COD
Mexique,153,149,MEX
Irak,150,152,IRQ
Turquie,154,148,TUR
Gambie,152,141,GMB
Swaziland,155,144,SWZ
BÈlarus,157,168,BLR
Pakistan,159,151,PAK
Egypte,158,166,EGY
AzerbaÔdjan,156,162,AZE
Kazakhstan,160,154,KAZ
Rwanda,161,156,RWA
BahreÔn,165,173,BHR
Arabie saoudite,163,158,SAU
Sri Lanka,162,163,LKA
OuzbÈkistan,164,157,UZB
YÈmen,169,171,YEM
GuinÈe Èquatoriale,166,161,GNQ
Djibouti,167,159,DJI
Cuba,171,167,CUB
Laos,168,165,LAO
Soudan,170,170,SDN
Iran,174,175,IRN
Vietnam,172,172,VNM
Chine,173,174,CHN
Somalie,175,164,SOM
Syrie,176,176,SYR
TurkmÈnistan,177,177,TKM
CorÈe du Nord,178,178,PRK
ErythrÈe,179,179,ERI
